 # Density of states (DOS)
 # The ouput is normalized to    1.0000000000000000     
 # Energy (eV),   DOS (1/eV)
  -9.9187474608581514        1.4744506039538282E-009
  -9.9181224413262914        1.4745515031892125E-009
  -9.9174974217944314        1.4746524132515399E-009
  -9.9168724022625714        1.4747533341424215E-009
  -9.9162473827307096        1.4748542658634709E-009
  -9.9156223631988496        1.4749552084163021E-009
  -9.9149973436669896        1.4750561618025282E-009
  -9.9143723241351296        1.4751571260237632E-009
  -9.9137473046032678        1.4752581010816211E-009
  -9.9131222850714078        1.4753590869777168E-009
  -9.9124972655395478        1.4754600837136649E-009
  -9.9118722460076878        1.4755610912910804E-009
  -9.9112472264758278        1.4756621097115784E-009
  -9.9106222069439678        1.4757631389767761E-009
  -9.9099971874121078        1.4758641790882891E-009
  -9.9093721678802460        1.4759652300477321E-009
  -9.9087471483483860        1.4760662918567248E-009
  -9.9081221288165260        1.4761673645168821E-009
  -9.9074971092846660        1.4762684480298215E-009
  -9.9068720897528042        1.4763695423971611E-009
  -9.9062470702209442        1.4764706476205188E-009
  -9.9056220506890842        1.4765717637015133E-009
  -9.9049970311572242        1.4766728906417622E-009
  -9.9043720116253624        1.4767740284428850E-009
  -9.9037469920935024        1.4768751771065013E-009
  -9.9031219725616424        1.4769763366342305E-009
  -9.9024969530297824        1.4770775070276918E-009
  -9.9018719334979206        1.4771786882885056E-009
  -9.9012469139660606        1.4772798804182926E-009
  -9.9006218944342024        1.4773810834186735E-009
  -9.8999968749023406        1.4774822972912696E-009
  -9.8993718553704806        1.4775835220377019E-009
  -9.8987468358386206        1.4776847576595925E-009
  -9.8981218163067606        1.4777860041585636E-009
  -9.8974967967748988        1.4778872615362363E-009
  -9.8968717772430388        1.4779885297942345E-009
  -9.8962467577111788        1.4780898089341813E-009
  -9.8956217381793188        1.4781910989576991E-009
  -9.8949967186474570        1.4782923998664124E-009
  -9.8943716991155970        1.4783937116619439E-009
  -9.8937466795837370        1.4784950343459195E-009
  -9.8931216600518770        1.4785963679199621E-009
  -9.8924966405200152        1.4786977123856975E-009
  -9.8918716209881552        1.4787990677447517E-009
  -9.8912466014562952        1.4789004339987476E-009
  -9.8906215819244352        1.4790018111493134E-009
  -9.8899965623925752        1.4791031991980740E-009
  -9.8893715428607152        1.4792045981466564E-009
  -9.8887465233288552        1.4793060079966874E-009
  -9.8881215037969934        1.4794074287497929E-009
  -9.8874964842651334        1.4795088604076018E-009
  -9.8868714647332734        1.4796103029717420E-009
  -9.8862464452014134        1.4797117564438391E-009
  -9.8856214256695516        1.4798132208255239E-009
  -9.8849964061376916        1.4799146961184239E-009
  -9.8843713866058316        1.4800161823241688E-009
  -9.8837463670739716        1.4801176794443868E-009
  -9.8831213475421098        1.4802191874807079E-009
  -9.8824963280102498        1.4803207064347622E-009
  -9.8818713084783898        1.4804222363081804E-009
  -9.8812462889465298        1.4805237771025913E-009
  -9.8806212694146680        1.4806253288196269E-009
  -9.8799962498828080        1.4807268914609190E-009
  -9.8793712303509498        1.4808284650280977E-009
  -9.8787462108190880        1.4809300495227958E-009
  -9.8781211912872280        1.4810316449466460E-009
  -9.8774961717553680        1.4811332513012790E-009
  -9.8768711522235080        1.4812348685883276E-009
  -9.8762461326916462        1.4813364968094263E-009
  -9.8756211131597862        1.4814381359662080E-009
  -9.8749960936279262        1.4815397860603058E-009
  -9.8743710740960662        1.4816414470933532E-009
  -9.8737460545642044        1.4817431190669863E-009
  -9.8731210350323444        1.4818448019828384E-009
  -9.8724960155004844        1.4819464958425447E-009
  -9.8718709959686244        1.4820482006477406E-009
  -9.8712459764367626        1.4821499164000611E-009
  -9.8706209569049026        1.4822516431011439E-009
  -9.8699959373730426        1.4823533807526226E-009
  -9.8693709178411826        1.4824551293561347E-009
  -9.8687458983093226        1.4825568889133182E-009
  -9.8681208787774626        1.4826586594258098E-009
  -9.8674958592456026        1.4827604408952460E-009
  -9.8668708397137408        1.4828622333232653E-009
  -9.8662458201818808        1.4829640367115057E-009
  -9.8656208006500208        1.4830658510616061E-009
  -9.8649957811181608        1.4831676763752039E-009
  -9.8643707615862990        1.4832695126539390E-009
  -9.8637457420544390        1.4833713598994517E-009
  -9.8631207225225790        1.4834732181133811E-009
  -9.8624957029907190        1.4835750872973658E-009
  -9.8618706834588572        1.4836769674530475E-009
  -9.8612456639269972        1.4837788585820674E-009
  -9.8606206443951372        1.4838807606860652E-009
  -9.8599956248632772        1.4839826737666823E-009
  -9.8593706053314154        1.4840845978255607E-009
  -9.8587455857995572        1.4841865328643425E-009
  -9.8581205662676972        1.4842884788846697E-009
  -9.8574955467358354        1.4843904358881844E-009
  -9.8568705272039754        1.4844924038765303E-009
  -9.8562455076721154        1.4845943828513509E-009
  -9.8556204881402554        1.4846963728142883E-009
  -9.8549954686083936        1.4847983737669870E-009
  -9.8543704490765336        1.4849003857110921E-009
  -9.8537454295446736        1.4850024086482470E-009
  -9.8531204100128136        1.4851044425800962E-009
  -9.8524953904809518        1.4852064875082850E-009
  -9.8518703709490918        1.4853085434344599E-009
  -9.8512453514172318        1.4854106103602661E-009
  -9.8506203318853718        1.4855126882873486E-009
  -9.8499953123535100        1.4856147772173545E-009
  -9.8493702928216500        1.4857168771519310E-009
  -9.8487452732897900        1.4858189880927252E-009
  -9.8481202537579300        1.4859211100413828E-009
  -9.8474952342260700        1.4860232429995535E-009
  -9.8468702146942100        1.4861253869688848E-009
  -9.8462451951623500        1.4862275419510237E-009
  -9.8456201756304882        1.4863297079476197E-009
  -9.8449951560986282        1.4864318849603224E-009
  -9.8443701365667682        1.4865340729907800E-009
  -9.8437451170349082        1.4866362720406427E-009
  -9.8431200975030464        1.4867384821115599E-009
  -9.8424950779711864        1.4868407032051818E-009
  -9.8418700584393264        1.4869429353231600E-009
  -9.8412450389074664        1.4870451784671444E-009
  -9.8406200193756046        1.4871474326387857E-009
  -9.8399949998437446        1.4872496978397369E-009
  -9.8393699803118846        1.4873519740716486E-009
  -9.8387449607800228        1.4874542613361732E-009
  -9.8381199412481646        1.4875565596349631E-009
  -9.8374949217163046        1.4876588689696718E-009
  -9.8368699021844446        1.4877611893419513E-009
  -9.8362448826525828        1.4878635207534555E-009
  -9.8356198631207228        1.4879658632058385E-009
  -9.8349948435888628        1.4880682167007539E-009
  -9.8343698240570028        1.4881705812398562E-009
  -9.8337448045251410        1.4882729568248002E-009
  -9.8331197849932810        1.4883753434572412E-009
  -9.8324947654614210        1.4884777411388340E-009
  -9.8318697459295610        1.4885801498712345E-009
  -9.8312447263976992        1.4886825696560982E-009
  -9.8306197068658392        1.4887850004950823E-009
  -9.8299946873339792        1.4888874423898437E-009
  -9.8293696678021174        1.4889898953420374E-009
  -9.8287446482702574        1.4890923593533222E-009
  -9.8281196287383974        1.4891948344253560E-009
  -9.8274946092065392        1.4892973205597952E-009
  -9.8268695896746774        1.4893998177582995E-009
  -9.8262445701428174        1.4895023260225274E-009
  -9.8256195506109574        1.4896048453541368E-009
  -9.8249945310790974        1.4897073757547880E-009
  -9.8243695115472356        1.4898099172261382E-009
  -9.8237444920153756        1.4899124697698510E-009
  -9.8231194724835156        1.4900150333875838E-009
  -9.8224944529516556        1.4901176080809978E-009
  -9.8218694334197938        1.4902201938517546E-009
  -9.8212444138879338        1.4903227907015140E-009
  -9.8206193943560738        1.4904253986319382E-009
  -9.8199943748242120        1.4905280176446883E-009
  -9.8193693552923520        1.4906306477414274E-009
  -9.8187443357604920        1.4907332889238176E-009
  -9.8181193162286320        1.4908359411935223E-009
  -9.8174942966967702        1.4909386045522028E-009
  -9.8168692771649120        1.4910412790015237E-009
  -9.8162442576330520        1.4911439645431486E-009
  -9.8156192381011920        1.4912466611787413E-009
  -9.8149942185693302        1.4913493689099671E-009
  -9.8143691990374702        1.4914520877384895E-009
  -9.8137441795056102        1.4915548176659739E-009
  -9.8131191599737502        1.4916575586940862E-009
  -9.8124941404418884        1.4917603108244910E-009
  -9.8118691209100284        1.4918630740588554E-009
  -9.8112441013781684        1.4919658483988454E-009
  -9.8106190818463066        1.4920686338461269E-009
  -9.8099940623144466        1.4921714304023671E-009
  -9.8093690427825866        1.4922742380692346E-009
  -9.8087440232507266        1.4923770568483957E-009
  -9.8081190037188648        1.4924798867415179E-009
  -9.8074939841870048        1.4925827277502703E-009
  -9.8068689646551448        1.4926855798763221E-009
  -9.8062439451232866        1.4927884431213402E-009
  -9.8056189255914248        1.4928913174869958E-009
  -9.8049939060595648        1.4929942029749581E-009
  -9.8043688865277048        1.4930970995868965E-009
  -9.8037438669958448        1.4932000073244812E-009
  -9.8031188474639830        1.4933029261893826E-009
  -9.8024938279321230        1.4934058561832721E-009
  -9.8018688084002630        1.4935087973078207E-009
  -9.8012437888684012        1.4936117495646992E-009
  -9.8006187693365412        1.4937147129555805E-009
  -9.7999937498046812        1.4938176874821360E-009
  -9.7993687302728212        1.4939206731460388E-009
  -9.7987437107409594        1.4940236699489615E-009
  -9.7981186912090994        1.4941266778925762E-009
  -9.7974936716772394        1.4942296969785580E-009
  -9.7968686521453794        1.4943327272085799E-009
  -9.7962436326135194        1.4944357685843156E-009
  -9.7956186130816594        1.4945388211074404E-009
  -9.7949935935497994        1.4946418847796291E-009
  -9.7943685740179394        1.4947449596025551E-009
  -9.7937435544860776        1.4948480455778952E-009
  -9.7931185349542176        1.4949511427073255E-009
  -9.7924935154223576        1.4950542509925216E-009
  -9.7918684958904958        1.4951573704351591E-009
  -9.7912434763586358        1.4952605010369158E-009
  -9.7906184568267758        1.4953636427994685E-009
  -9.7899934372949158        1.4954667957244947E-009
  -9.7893684177630540        1.4955699598136714E-009
  -9.7887433982311940        1.4956731350686763E-009
  -9.7881183786993340        1.4957763214911903E-009
  -9.7874933591674740        1.4958795190828893E-009
  -9.7868683396356122        1.4959827278454532E-009
  -9.7862433201037522        1.4960859477805610E-009
  -9.7856183005718940        1.4961891788898931E-009
  -9.7849932810400340        1.4962924211751290E-009
  -9.7843682615081722        1.4963956746379497E-009
  -9.7837432419763122        1.4964989392800350E-009
  -9.7831182224444522        1.4966022151030663E-009
  -9.7824932029125904        1.4967055021087242E-009
  -9.7818681833807304        1.4968088002986909E-009
  -9.7812431638488704        1.4969121096746494E-009
  -9.7806181443170104        1.4970154302382803E-009
  -9.7799931247851486        1.4971187619912665E-009
  -9.7793681052532886        1.4972221049352912E-009
  -9.7787430857214286        1.4973254590720374E-009
  -9.7781180661895686        1.4974288244031895E-009
  -9.7774930466577068        1.4975322009304305E-009
  -9.7768680271258468        1.4976355886554450E-009
  -9.7762430075939868        1.4977389875799184E-009
